query,place_name,formatted_address,lat,lon,vibe_class,place_id,photo_reference,types,osm_image_path,dist_to_park,road_density,road_length,traffic_level,time_of_day,sentinel_jpg_path,sentinel_tiff_path,populartimes_peak_avg,avg_temperature
Domlur flyover traffic,Domlur Flyover,"Domlur I Stage, Domlur, Bengaluru, Karnataka 560071, India",12.957887,77.641455,why_god_why,ChIJA-hHBhAUrjsRp68RiXcuz44,AXQCQNSdCwwMtnUZqFATZmZOTj5WgzOF2ia7qOCWWlxHKeiRNdgEhbIFxf5KVMs1-ylZiLpG2LWEW0shrCPq_gXm3OU9_8Ea_OXP_9pOIeXVIAwfVycIojWVTr2eXvqPhfVZ6SN_orkJf0v3vVv_NR_-5MhBYJ6R4PW8VX2vfqubw4piU7HfC7BxnldjLtLV7dU_aKzj7ZBdAxfvd78oBhUIl_9Zegm94OWG8eXZHOW4ZNFeWvlpw_tXvTbv3jbsXbDar1xLOghWTdnIqAlVQkDJPTg8BpzOqwCa3ostljYnV6896nFQT-y1Ugi3zd5Uo-wR6IZU6yh3acnSkl4DB2zcT3v5y1LhJWxTpme_XXeUwgaIKm7aX6FV6Wjq6xhEU99DzYuiNNeMKMRkS1NWai90ZJRGeg4BR1Ryqz482QyJooZp7Osqd47AYRON5KBhzD9ffNS5fRN44UjUKuNoqNhocmQkr_pFljYNQJQtcHr4BPDH9biAO4mCKIcupADoGEEYt7rSK46SyZZAURVWnj5epbCa9ZYrUjHbneYhjCQ_6-2oSlPelbERYa-BYvG-cOEoXUufLFWQ,"transit_station, point_of_interest, establishment",datasets/osm_images/why_god_why/why_god_why_48.jpg,83.41545129,170,8519.8,high,afternoon,datasets/sentinel_tiles/why_god_why/why_god_why_48_sentinel.jpg,datasets/sentinel_tifs/why_god_why/why_god_why_48_sentinel.tif,54.4,28.19494709917294
Cubbon Park,Sri Chamarajendra Park,"Ambedkar Veedhi, Bengaluru, Karnataka 560001, India",12.9779291,77.5951549,i_love_it_here,ChIJL2fQ53MWrjsRuN9D6aalLMY,AXQCQNRysmcbWXcPSfIHIoE8peqULDKVPTqOCuekPd1FkWqZ7uXs26LfZ28-PCisdS7FzEgS2MjPUkYL-teHVcu4d0V7BOrE1c4dThFc8NMDzseNwdUiB_CEPng8z9jQzsNDHg0Ap0yaokAbdMbmNUU3bwAp-UeBz0i_WEYKF7v0E748vu_eXDKSjf1EZytn_v2LFzyNvT-Wh38VWhwxqa9KOt4L7o4tPa0vrDEh9eJyp2xlq1QjtdUhQ2uZeopH5PAmDQD--HTGqJN6mfhAHAR9zWhC2PQE1II5TcDyVaA1UMHjeRkFO5RJzk6p3syOVXUHgQZWNcUCEgQDjAZ1dNh92VP-CpcW6huBov4tnbSLcQO2Wm_xIM_CRMJ4wo3lHmHvCW38MsUeGaUpvWcD5a4oaf3qLgMjdg8GJxQdefW0uW3-zuwLGVjXZVNb-ZLeCw_L0K2RdPXmfPOZvzHcUg0Xo7P42w7fL_WOtYxjcJm2ywWDGwCNyi7NRfNy_O8zFKBhtUrySagZ0OB6Iug-ZZddJpStAtQx9aZlHEVRDSEB2y3aItzyag_16r8vdOnuG3307d-9SD14,"park, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_0.jpg,0.0,51,2552.5,low,afternoon,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_0_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_0_sentinel.tif,56.9,28.19494709917294
Lalbagh Botanical Garden,Lalbagh Botanical Garden,"Mavalli, Bengaluru, Karnataka 560004, India",12.9494158,77.5846805,i_love_it_here,ChIJHdPykcEVrjsRIr4v35kLEY4,AXQCQNTqdHCEfGM2HW0sCEzoW7QPnEFOLeIgGvYoakq2sXQsINSkj_SFSwHOEdZpBwbZBQ8_mC1sropJ_l0OK-3vzO3N1qokap1j-MYnu-IBiWrTuEiBGknhTk_K8KUSM6Aq7EXO2bMTLyHDCq4KOkFKU2aAvhZLAoJKuvrQe0x7qKZJCvpla6f2zAIa0T34bmPyl2wsvf_a3SUWtggnVEJbYCZyc-b5EFIePUh1vP-jg7e_Iux367ZEHKuycYhy7JSFBvanoXrokQeYzPMdJ7BvDrzzLbc6Bc0yny5Q-L1Bs2fbPss6Wte3Q_LXz5IL9rrmTxwsfs8zpSTxGZRraiNZFbIhU1LwGCm3XlibpPS63qmphrLQ9JZ0n-RGK_1qbktyjt_0_ulHL_s2hj-K_PcVEEU3fDoxnUqXOJpCFFmlsGKAAVqys9oxNg6oBPYnpJaju0TqaXI4QLBR9OqQ0c3wF-Isx348Mpr3UxGrz_-AeAPxcBICpLNc3CKcnJgrBTAhHFL6wBEdUndawxSqzaXeHYQBJx_iGyzwOUmNsAF6vh1ttG4-DJGbAjGAsJwMbDv1DDOiDg,"tourist_attraction, park, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_1.jpg,0.0,56,2806.7,medium,evening,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_1_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_1_sentinel.tif,79.2,28.19494709917294
Ulsoor Lake,Ulsoor Lake,"Ulsoor Lake, Halasuru, Sivanchetti Gardens, Bengaluru, Karnataka 560042",12.9832468,77.6199608,i_love_it_here,ChIJWwLHKpAWrjsRLHdwWyGN2lw,AXQCQNRMdhhvQ2NvGUavQ9gBXzTGs9eCUvNoE4cdr2wfwUOq8e9K5OlLRlb8ZW2pgarK_2lgOYjr_ZW1w6kPbfNgtp6vqvARM-_GcInB-0fqBJThZpvHBxZl5FEvsCb-20Bgg7BWoKMz1K3RivN0N3XBYwAfr3O06pqDUbOjIoBpgYbZGQJ3kEtl3eG6X81gsxbb4-2rIAxZJ_47gXaCrimUB5zfMusoo7MZZw1HjwuhMC4RuEKS-ebzx4_elvqmW6EiqJ-50OS8Hw0dEsMsUdT8T6vAiX7MFi5Rp1XXS0RvpI88eEPUqII8IbTnM3l4Cmy5IRPlSTPplURbrKINvM9UMIQC-duNGgd-ucO7qrpOaxKsnh7wOeBawS-W3ENKxG05RwvRLU2orNZVVfcZBc8JTnbaGdP2OeDzQzZpU_WBfjO9Ifm3eG9IEXySXA_byFVlO6JlplwbvC17jakpSNRpGTVRmBzIS26hg8GS9tzFpUdqKcf3ooEu8xOSoOo2hPC6U5TXh4lI3jxF3Bd5UaYvOluoA0WaUIAuvo6STtxS-xBIaBG9UZCQG26AA0KDd2ogvnKRizopV3eVGA,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_2.jpg,257.4679176,84,4215.9,low,afternoon,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_2_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_2_sentinel.tif,52.6,28.19494709917294
JP Park,Jaya Prakash Narayana Park,"22/1, Tank Bund Road, Brindavan Nagar, Bandappa Garden, Mathikere, Bengaluru, Karnataka 560054, India",13.0343719,77.55081,i_love_it_here,ChIJ-8Jcp109rjsRe0QXmcbU8Ic,AXQCQNQNtn_xX6I9U1dTTZwj0yuMqyIx0XK8dIIay17IUmmK6DAtKvBJzV7gTPEHBAEjs20i4W8ySfExQU5afNdihDLJxOwCPTisQWqH2xBK0HvetSjMswxrJNi8RZgIYcFZfAxF6QVVTD7zlGJko8l0o3wRYPr1yG2Zufbp6qH37mmz1hTLOzFZBPFjmm7roU6q0kbKp5b3-yFprSbeRTHgEx0JSomskQW2E9yiWPCKmw2l4Nsisy_fbwZx_m2YaEFapMMNvhlhnB3BBRCsEinT9SDEzBryDRhQREW7suGTbaEBQX8K1-kN-_5LopZRefCdyMajA_P_NEECpAJh8RYh7T0Elp8JzvCX7BfV1kPzUiPytbGQjOA8pi4Y0Tlv5UerRgH8Am2MQngjEKDOzJgywMvTKPvIoWNLbb0Ho526tV3JGaUEPtWDxVBIM6AqsO0AbYCj0MJe2HhbUCvwkuRRIC2WnVoKIgzdFrQ8rjBlaReOglwa6Tpg71JOgON6Q_8X-GfKeTJHBjUCwo_XwhUKkp8P5MA-iAgenJDU53GXF7GI3Mer0DNQ5J63Tw243XqqgB8L-znC,"park, tourist_attraction, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_3.jpg,0.0,237,11865.1,medium,night,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_3_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_3_sentinel.tif,25.0,28.19494709917294
Bugle Rock Park,Bugle Rock Park,"WHV9+3QM, Bull Temple Rd, Basavanagudi, Bengaluru, Karnataka 560019, India",12.9427052,77.5694287,i_love_it_here,ChIJmwJpvowVrjsR0JVGQxxLHms,AXQCQNTsr1Nqd-EC3_zxSFdviC3sNgOKQ7oRr8QtNvOtUXk8u7i_p7DF2PuiVRKVjcZm-bcivsu5iqnFm4dv6cigkJ9wRxCjEhxfq1PnHU3I4DvLIT3zI1OdrMqShx488NIcYHJVFrtjZWgT1QmR31T005K5J1ypmRunKwS4Ngn7uiYdoQhF04wiSbpE2JEn4fisZShRpt9wYVRb7S_Y4tt-NSjTJWXdVSU30tgbeoq4lWDRB5CSk2A_3qng69qOqrz03RiDDq9HGzlQTWH2fRzuB1dFKdQ9-NRzeyyy0YSUUGdFR3F7J5fhSB7lV-qHWldhFtfeamg89587SUkXiw7ykJ-xUwrtbpPWs4vABIsXO-H91rUUxrZq0nYGnambrOcttj1H4yGWwmE4VH5WUQeSYj-OfTNNcYCudYbneyiZZhn7T-Oht__3mrNbZuedFS1MuVp4U9EzTKm4KUDodXt5QXmFHiDV0jkWALSfrQGLbWiG4ot-9HhrNQYN8fm3lelMcb8-XMs2XZCd4w7aK2ZD4QxEmXrNYvl2qJZazLHmItxNxnZXz-87jee5UoHhfuoz0sOlsS83,"park, tourist_attraction, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_4.jpg,0.0,184,9212.1,low,morning,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_4_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_4_sentinel.tif,79.8,28.19494709917294
Sankey Tank,Sankey Tank,"Sankey Tank, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560080",13.0092983,77.5741212,i_love_it_here,ChIJzVAUlTIWrjsRJgrhXgyf-Gs,AXQCQNRGYuTaBqsWmazn4ecUgD8n2E2TD2TNaEDkZqUIi1Ff6LBmk5-X-kdJdHOP-VC_JSeOtXT-XfN--XTUDqSvBGjsEsCee5EtcwxBGBVfCovoreN_-8Gr3J-S1pTToAgP_zMvnyvOpLR028Dcg8-ukWp0c00IApG9G0YZSl1h4qUTCrIwr9tmGjQcW9Bmn-LsQG90w3ZT6yyUzdmupIiYEWYJxMv5b-Ku-qU-QVTem05LiH6oOlfJOhnbxVirXUIbMawjpHpQ05Z4MusCwdOuU01pMfPh5_aLzAPMe24t5uzJx8TGGTIsU9aPxaWHIKJPS7zyt7rS0U1kwXCG33TTNziUFkLHB2iP_GygK1IyAg1HwRTtNBnJUuwj9bms1YDlCwuQAWkrnSNVUysUdZBBhNzRTVMaISl8D_VhbFOsljDY3HhyKkX_HV1_LsBdlhJ6C4s7pBNYUN9G4ASRdyarukawWzBzDRsz4WoAWMB_R2BmzsrYWTQInMbeBvl457_WbIoRalAKHefZ-QYMD8VEpedeLdbZzdNVoHuUpRpPAQmQWmOmppxg5vLXGPloMbEdUmatCbG6dq1reA,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_5.jpg,122.470125,110,5511.7,low,night,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_5_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_5_sentinel.tif,24.4,28.19494709917294
Hesaraghatta Lake,Hesaraghatta Lake,"Hesaraghatta Lake, Bengaluru, Hesaraghatta Grass Farm, Karnataka 560089",13.15,77.49,i_love_it_here,ChIJi7vANVwhrjsRMezAJsujVrs,AXQCQNTy2qNYej_g8kVWbLwWM1TBReoOp9f-zSp_B9wzzU4q73qcGA70BT-fwMifmHdflymMw1vaJDsrwAUo8mch427oDVSxD7tqJrRfx4bcaT0FyT3Xscw0SYCfvPbk1flZkCFmyvC5BlcHOt6KJ_OSyK8Fy1IyJSLrAwJTifEUxTpqTIKqUYuMSg7McOSgglQn2lSMO9Qn8V9qc6Yg_rGha-OFFj3BVqwXCA8KUiXmHGP9tJh0kQ5YJwbWnbbufL32b9P8Sv29KLA86rPVXi2ieWM4jgqUFaHmwbzSLIqBTJOXvI93xAbJCVDfC2OtdTneHtOBcAcD0if9vlzT02dbMKpu7e41pXQ9tIb33on_KPhGmFxVaTZnX4UaZkTAbWtlQoQhHVFE8xFwNh9CG5fYnrByBiz6nzUfiAvrn3aa0O6zlB31hhVTwEkULJr4kWxVeTKGAGWXNdYaOm08Gmm9F5Q9lCkqTBgIzQYD184tF9xYtPLs7Lj81PpvtIMkl4lpAus2ItBagc5BcxJI78MC0dRIXYnFzLHTy96hMKg0n4lIaLusWdYjQzg3wEP0nl_jUt9jS5ri,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_6.jpg,8467.888455,0,22.1,low,evening,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_6_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_6_sentinel.tif,91.6,28.19494709917294
JP Nagar mini forest,Mini Forest,"WH6X+JFW एरिस ग्लोबल, 100 Feet Ring Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India",12.9116185,77.5986986,i_love_it_here,ChIJEX0nJAUVrjsR1ZQaZqQMJKk,AXQCQNQyG9CLJ5W0tZAGifXf98MHZsQZN3WltYfewUsFbVoBT0iXsZA1ks1RkSgEj_MCGRVKmv60jDgjD3BryFh8qT6Mn75tv6T7JSSGVMnTWkNYREd5HJuM5GYLLyw3IGihtCG3KLn2JjAq8zjrzbj1SOw-1L32Ps-rPLbS7AizSOSO0rij1uEeNNBZkTDQD79sHNwfFoTkB7N9pmgCDdYPhJv3H3ZGPRsYtUVfEnDbugE5sNFOCskqJ2TfbeBT-nlmyNikLanNvTzr5m6IJZYxD1ZrC4m6Zj0WH84-pdFByp8g5qefh1Qq18-Ts8oWn4sqI37aKoBVTEKyE0liwYUlp8zXg3A7XSLnrmpE3PoWDhfY9LdeNh-lBx709z952hJhOTtLtEk1-WIchnFYR9RnXIy5Q8YWu2B5IiJjveBzfV-0zWnBhCf43YXBBMH0dwlXa9m59D94R0URKyPrHDWG9-DzeNB2u8LHfxC5f3oRgaeq4JvwkrZ8kW-XNkEcGCKywJW9sfx_SLM2-lWdIhnqg46Q60EjHJt18WfEdIX2e3712sVGKLa7yDk3enwNKyRLilOL8w,"park, tourist_attraction, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_7.jpg,0.0,207,10359.5,high,morning,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_7_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_7_sentinel.tif,66.0,28.19494709917294
Nandi Hills,Nandi Hills,"Nandi Hills, Karnataka, India",13.3838935,77.6833026,i_love_it_here,ChIJF-r860XksTsRCGYZWSn3ORY,AXQCQNTdoEMm0G4q2mErBsQ0LZ_fZN7eYXy65fvTa7imo7GMl4nVLnM78eoIs4yj9yjbuBWBDqXeHehW0QcAHq11NKhR2kYxmV_IRB6wYPVDzUc5ufY5mm9YPAgcQr95ywT1DMLZLiQ18oLV7Ir_3X-AFN10maP9iHrnJiUWqSaWyp7eQPjJYcX_FtgK2MAyDfebRjYS3hUrCFIuMq_pHGt2_5-syVQ_fWDekYqsEhz0qOJ1hNnqrh5c7G19alSMzXWU_HQMK3pNQ1W7CCDkG770fXKoZ5fGfHHaMijLnlcMDx9zj1vkLzkI8VB7ZNyGTxCcjjtYmEZzWd-4X8efVI-8C7RnDt2cvgnb54Q_HIDN3U0AibKvKwKOqMMyst8zZkTWB1IoXSlZVwTJDBIoxjxaNSWA9lodPhkqn8E6-KP6Wgr3TkUPYPwczRVcesv9pdVglZoQACv3a9ZBuOERzJmOuQXmTZ0uo4_NE5DMAdiGXu_G473fEuVn2n1SDPQwfJIyAQmA7erngnNQHCPxPj8uDF8kj0DrilcdceHa2kgLdbsYByL0B1UPIoEXYgi37KEL_bR6vaC3,"locality, political",datasets/osm_images/i_love_it_here/i_love_it_here_8.jpg,29464.24203,0,14.7,low,evening,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_8_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_8_sentinel.tif,86.3,28.329474049229777
Turahalli Forest,Turahalli Forest,"100 Feet Rd, Thurahalli, Bengaluru, Karnataka 560062, India",12.8831706,77.5250297,i_love_it_here,ChIJiwllD4U_rjsRdrv-TgtsBDM,AXQCQNTOn2E2fRCwp2HSQRH11AUBP6fbQOF5f3OQDxef6ImNLcbmr88GlGx92EyJbWDS0EMvpadbt280-3WawHukM3ez5ATC-3sPXk6OIXkMRrMqVbZmTtnnFmORtnApuYZLff16yTp1B0LMINxpfF8LNLJD4fO3SS_xz8IIiDMTDMIQnJ6w-C5TUapi6nb2GD6AMZKLby4PYAX03K3S-DqlT7uqqjbJKk9NLUEM-BQValZSWdqNvqt_sAE_8XnDS-blK3Aow96gM3dc08W-paWB0HoTBMuvgzysqL1fDK6s1nhgVWTUP4RfO5Q_avCVZIQXEqwIeI_0DzqE-8wpaYrnZT-8FYOYsh1_QhAtMf-Iw2k-PZtDB8RETMOd7UVWogBqD_D8zmudiT_ji-mDbQya1vgSzIMYSwQ9-oZSQqvrNvVDnkWlgCIVEWyBdmYPhiisiDQ9TE03QvvNmmMl4lX544wjvxBrc14suks2nyouwo5lfP6T4S9wlJI-pv3bNqeA-y8Ext9X6Vtd9CIV4DnX52-s62xJ0OLMqSYQqOU9xJSQ6VDWvXFiQCm0DxPyAwtLt8auSWSJ21zadQ,"tourist_attraction, park, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_9.jpg,1339.227195,0,14.3,medium,morning,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_9_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_9_sentinel.tif,65.4,28.19494709917294
Butterfly Park Bannerghatta,Butterfly Park,"QHWG+CHF, Inside Bannerughatta Biological Park, Bannerughatta, Bengaluru, Karnataka 560083, India",12.7960545,77.5764202,i_love_it_here,ChIJ3XmpYxpqrjsRjRZ78HKinFY,AXQCQNQWlSrYfpzFGoo9ofaixRXhk5Rj3GPFE-0XWsk4stFY5q0vbPqdz7r7EHpuxLW1BMtePhbACXGzz8ElVIZM1UWJBj34znZXgSh6f7dpfCibts3dG6BTHwamhUDgBiCPdSRWMRB-KruOgevHBfsCA0DLU7N6xd1In0PEh5c0Ij09FMVAjwzYZ1aGAPLTgAVLFVOOUkwxxdW99do0B8WCtpI1PLSWoWH4KlZ2unLEet58P_lgY3DJfEASFjHMYrxlv7WwaQQr53DigaQsO1gYdpEblL4CBx-ZzRo8XChSO356POD8xrX0lNVqL8KeebzAp0xci9SJcIohv7TN_Jsxpaflw6PwNP7cFhSyZhryilUxWBmtVeTC9p6PoZ9K7K18-pNYJj0zOr4_xSokz-cwSWg1NU9TgScUAiD0IOFx8-TXNZzM6otWS_O2l_IdHfOaO-MRve5Nt18ZQLoJz31a3CtYWeYYM-ze83Xy5-idCWT3Q86zyvPhzvPY9IMJabzXagdx_7ciZhNhH8sYLqY2cG80DGECUMtt0G7CckO7MZ-sE04apPtPCP4gGaNKzWeg1d7-zoTJ,"tourist_attraction, park, point_of_interest, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_10.jpg,5499.647251,0,16.3,low,afternoon,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_10_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_10_sentinel.tif,49.7,28.19494709917294
Hebbal Lake,Hebbal Lake,"Hebbal Lake, Hebbal Kempapura, Bengaluru, Karnataka 560024",13.0465993,77.5855829,i_love_it_here,ChIJBTRnZY0XrjsRA0m04B3mWjY,AXQCQNSig3anXzmJqOMZmHI8pd-0K-ELUD3H7rcIB5yPPMXMiPS6zuDt7o0YYiGBS9kdTEKma3wmzsxhuf79i0m-37eS4Nn7P2LS708JY4aIs7RNEi05tOCLSxs35BlpfCddx1Wy-jCVOfs6Anh4LQqh9LPf8ONUjeV3ntQJ2mkHBfn5cbf2Z3UQWYdlVXlCIGilvbDZhNkK1PTyyRwGdhbCWWIAHWQFrvLJ7sqdGYrdCIo_IX04JaqyGtBAHZSFUyxXvg5izUdHg2h9OLz3FmE82bZ7zIv0fJLYiKBX1XpWyVma8RycpWYvbmgXpMqJVvq6kbEZX2eefcnBLWEU4BZ2a39jFLSwLj3NLXiZuShJJqQLN19A-YBaA5D4hea0SeFpoEZdchYbmyh9jhlwSFPe75p7J_Pj7AB5IDi9n8Jo88sKm_RRCX39L3tBkcumyCVCEEiDZewtauB_-xyvVrYYgYRa7ZX46P6FVc6QXo7jm8tSg8i2Er0hMspMdDMxOrNsdiW9zRj9fSbtNNWLprerDtoOMMkC_zRDmV0gbmrunSJK7lC4vfICh_J7nbgqaoFMNvzSVLYwsZAywA,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_11.jpg,598.4413562,10,510.0,low,afternoon,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_11_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_11_sentinel.tif,58.2,28.19494709917294
Kaggadasapura Lake,Kaggadasapura Lake,"Kaggadasapura Lake, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093",12.9867221,77.6694055,i_love_it_here,ChIJE6TkY1sRrjsRTJ82JgEx_rs,AXQCQNRf1cifSXqjxuRbpBXfK_L0HWeOhz0G2l8bryk8-gYFyDaj-et1ymFaFg05UFr2p2eBCSvlIgnPYj2gjPfmV85uS3AZYSkWUEYOstWZnnWxW1aUhcO8ucbE4mzOplndkyfXZk-UMyH2sCR9cFuKHqckCOVflJ77qhYhIaCgb-t-9A6e7XSjvVbL3bj3xzE1EWeBdXCJ5uYPGXkDmdo4FFpBpPfAWoBCHGFDM5DYATG-BNOsF3TloWCZRa_1_iAnTz0vQIWz5CEjTKkE3usCHcZQANaAorK77ORGIFi4q-odezPiv_FtyKON7OWsHh952LWJa5Z-CJDtlL6jf9tYa5jb4N-OmFRC01zqZx5gsXitTCrRRwEgoKpZet9BBBQGhbh5ejBqFXyvroGV6X3_pTp74cssCAq9D8dzM1d_bDV9mAz4pxQm6Qv7ybBzXnZ5nylUopjhRsjZ8QT2lJKiU2vFGtBmoDdMytJS4kKaa90i2n0qy37EHgF5wBxje3yF-dd-2Pf_VDwliD7rUVttqZ5zEAerPUaffb1Tqrdutg2qtjSAORrOCi-YRNCUnirBi9y69c6Z93G0zA,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_12.jpg,158.5811704,134,6712.1,high,morning,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_12_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_12_sentinel.tif,51.7,28.19494709917294
Agara Lake,Agara Lake,"Agara Lake, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560034",12.920707,77.6414418,i_love_it_here,ChIJny9MgogUrjsRWTk5MKLvO3g,AXQCQNQld9bGLEg81MfdlMLeayIKbifUI2AZTWAQg7svayDWAQqR9uYMfbO-BRCgueKyYyVjIv4_EJpw0dGUnzNvGl4N1PTgW7Xr_wSJ3g4cRtiwmoKWHw7ex7a0KeKJlcWcihRwKTUtJv4SkQoU0EXeY5Z_njwGz1eb7E1VKBijNhtLVuPCV2z-QrUXiGrgPPMV1T7Resq8gkexdXRcTDqWCJvHbpciXSlt7GVB7eAjSJjHKZI5rlnHb-et7qpX2QzBXLwE_7HinYonapYkJUNliH3bK76kyeAb9nMT07qzu2AG9aOB-Vh0nmGMrj2Yz4BojmiMwwSYXYzYDgtrjP9ilKrh965hl5pOA6jdRyM28Tf1QgeRvDIT2oGY9Qy9rRq3t-57Py-bVeWBnMKJo0HJjVapdmmCH0crVnR6rzV641u135ctIjOBynmisKDFEsh4gFjl-iKf3vluU5BOLDu-Lih56zZj0j8zKh96QcJ8vuNT-shRj_Zn93NtAcm4oIXuEim5xVp1HYE2LNAUeoK41ypidKRJjYfYx3Ff2vWHXkCtu78dK-UMESDPWhPRTnzyylUHqJDQOd-47w,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_13.jpg,0.0,101,5064.5,low,afternoon,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_13_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_13_sentinel.tif,56.2,28.19494709917294
Kempambudhi Lake,Kempambudhi Kere,"Kempambudhi Kere, Nanjamba Agrahara, Chamrajpet, Bengaluru, Karnataka 560019",12.9517626,77.5601507,i_love_it_here,ChIJWyRLCR0-rjsR5aSjQU7_RF0,AXQCQNQUoLJE_wjUUClK942hFG9-czrC6-hLy0MoVYlJkx-QSKaxqqY0k1mgubqZKQ79--xeqTYWfP8DYkOqC9jxQhPMm4bW6AnwVIFMlXLVJ9_aJ1tWihLC_ri9yB-KQzzAd-bpXSLwKeLvUMsL3bftQnWMh4MBFpZMXg4uKi6v22Z9WLZw7DUWnsliH0K2STfuVvqObUyd7tNZBiNSVssPWCE4QzEkvFgCSEoEJlXNXQJAwWBVn92w4WfceTYbWMhelfLfOR4xQ4A8mjFRuiLlcgrl0_9YNPaUIbbd1_uiK1aRHNCD9huLwaSgp1qSBjkc94aM2cCVZj7Oc6j5uHh7ff29bR_Ac7rYGRl6L-7BZf1Q44AFWu09XYAaSgjHF3SsUfew7rArYpkGK5xEU0353vRwq0BjHsM10_E-R4kEPVkswwhfki_QFa97dlp_8dnHfHo4snOMfRyUbpCAGILDRTjgyTvE8TI2Y5O05dDLR259DcWOv9YAyfmKaA9zkWUvNcxjJ5cRju6UgJuZo72hIi8iBe1Kfm0p-Tly0vHlu7NxGVM0835LjNs91gzmlPyMDj3s1A,"natural_feature, establishment",datasets/osm_images/i_love_it_here/i_love_it_here_14.jpg,54.98560987,207,10358.2,medium,night,datasets/sentinel_tiles/i_love_it_here/i_love_it_here_14_sentinel.jpg,datasets/sentinel_tifs/i_love_it_here/i_love_it_here_14_sentinel.tif,30.5,28.19494709917294
